	ath	vvi
OG0005194	AT1G73320	GSVIVG01024244001
OG0005195	AT1G73340	GSVIVG01024242001
OG0005196	AT1G73350	GSVIVG01024240001
OG0005197	AT1G73380	GSVIVG01024248001
OG0005198	AT1G73390	GSVIVG01024250001
OG0005199	AT1G73400	GSVIVG01022794001
OG0005200	AT1G73430	GSVIVG01015003001
OG0005201	AT1G73440	GSVIVG01027682001
OG0005202	AT1G73470	GSVIVG01000394001
OG0005203	AT1G73530	GSVIVG01029394001
OG0005204	AT1G73650	GSVIVG01008416001
OG0005205	AT1G73680	GSVIVG01008396001
OG0005206	AT1G73720	GSVIVG01007685001
OG0005207	AT1G73730	GSVIVG01025324001
OG0005208	AT1G73740	GSVIVG01008345001
OG0005209	AT1G73820	GSVIVG01037420001
OG0005210	AT1G73830	GSVIVG01008299001
OG0005211	AT1G73850	GSVIVG01008290001
OG0005212	AT1G73875	GSVIVG01008276001
OG0005213	AT1G73885	GSVIVG01008273001
OG0005214	AT1G73890	GSVIVG01008272001
OG0005215	AT1G73920	GSVIVG01008249001
OG0005216	AT1G73930	GSVIVG01008239001
OG0005217	AT1G73940	GSVIVG01019710001
OG0005218	AT1G73960	GSVIVG01008230001
OG0005219	AT1G73970	GSVIVG01019912001
OG0005220	AT1G73990	GSVIVG01008179001
OG0005221	AT1G74030	GSVIVG01008197001
OG0005222	AT1G74070	GSVIVG01008222001
OG0005223	AT1G74120	GSVIVG01008120001
OG0005224	AT1G74240	GSVIVG01007869001
OG0005225	AT1G74250	GSVIVG01033228001
OG0005226	AT1G74260	GSVIVG01016499001
OG0005227	AT1G74310	GSVIVG01007880001
OG0005228	AT1G74320	GSVIVG01036594001
OG0005229	AT1G74340	GSVIVG01013070001
OG0005230	AT1G74360	GSVIVG01007944001
OG0005231	AT1G74410	GSVIVG01007975001
OG0005232	AT1G74460	GSVIVG01007995001
OG0005233	AT1G74470	GSVIVG01007996001
OG0005234	AT1G74510	GSVIVG01008033001
OG0005235	AT1G74520	GSVIVG01008026001
OG0005236	AT1G74530	GSVIVG01008024001
OG0005237	AT1G74580	GSVIVG01008016001
OG0005238	AT1G74600	GSVIVG01008015001
OG0005239	AT1G74640	GSVIVG01008006001
OG0005240	AT1G74670	GSVIVG01008003001
OG0005241	AT1G74680	GSVIVG01008002001
OG0005242	AT1G74700	GSVIVG01008050001
OG0005243	AT1G74720	GSVIVG01008058001
OG0005244	AT1G74730	GSVIVG01008063001
OG0005245	AT1G74850	GSVIVG01007844001
OG0005246	AT1G74880	GSVIVG01026485001
OG0005247	AT1G74900	GSVIVG01007832001
OG0005248	AT1G74970	GSVIVG01009628001
OG0005249	AT1G75010	GSVIVG01010290001
OG0005250	AT1G75020	GSVIVG01009645001
OG0005251	AT1G75090	GSVIVG01009657001
OG0005252	AT1G75125	GSVIVG01035379001
OG0005253	AT1G75150	GSVIVG01009687001
OG0005254	AT1G75160	GSVIVG01009692001
OG0005255	AT1G75170	GSVIVG01009704001
OG0005256	AT1G75200	GSVIVG01009707001
OG0005257	AT1G75210	GSVIVG01009713001
OG0005258	AT1G75330	GSVIVG01009739001
OG0005259	AT1G75340	GSVIVG01034266001
OG0005260	AT1G75350	GSVIVG01009748001
OG0005261	AT1G75420	GSVIVG01009775001
OG0005262	AT1G75450	GSVIVG01009786001
OG0005263	AT1G75490	GSVIVG01009801001
OG0005264	AT1G75500	GSVIVG01009805001
OG0005265	AT1G75670	GSVIVG01009867001
OG0005266	AT1G75690	GSVIVG01009888001
OG0005267	AT1G75850	GSVIVG01018728001
OG0005268	AT1G76050	GSVIVG01008746001
OG0005269	AT1G76065	GSVIVG01008741001
OG0005270	AT1G76110	GSVIVG01008723001
OG0005271	AT1G76120	GSVIVG01008716001
OG0005272	AT1G76130	GSVIVG01008714001
OG0005273	AT1G76150	GSVIVG01008709001
OG0005274	AT1G76200	GSVIVG01008691001
OG0005275	AT1G76240	GSVIVG01008683001
OG0005276	AT1G76250	GSVIVG01008681001
OG0005277	AT1G76280	GSVIVG01008674001
OG0005278	AT1G76340	GSVIVG01037954001
OG0005279	AT1G76400	GSVIVG01013410001
OG0005280	AT1G76420	GSVIVG01013419001
OG0005281	AT1G76450	GSVIVG01013427001
OG0005282	AT1G76560	GSVIVG01013447001
OG0005283	AT1G76570	GSVIVG01013450001
OG0005284	AT1G76610	GSVIVG01013458001
OG0005285	AT1G76630	GSVIVG01013460001
OG0005286	AT1G76660	GSVIVG01013470001
OG0005287	AT1G76710	GSVIVG01034572001
OG0005288	AT1G76730	GSVIVG01034559001
OG0005289	AT1G76880	GSVIVG01034523001
OG0005290	AT1G76920	GSVIVG01034899001
OG0005291	AT1G76990	GSVIVG01009980001
OG0005292	AT1G77010	GSVIVG01009976001
OG0005293	AT1G77020	GSVIVG01009982001
OG0005294	AT1G77030	GSVIVG01009983001
OG0005295	AT1G77090	GSVIVG01010018001
OG0005296	AT1G77110	GSVIVG01010025001
OG0005297	AT1G77122	GSVIVG01010034001
OG0005298	AT1G77140	GSVIVG01010038001
OG0005299	AT1G77170	GSVIVG01015318001
OG0005300	AT1G77180	GSVIVG01015321001
OG0005301	AT1G77210	GSVIVG01015332001
OG0005302	AT1G77220	GSVIVG01010042001
OG0005303	AT1G77230	GSVIVG01008793001
OG0005304	AT1G77250	GSVIVG01008795001
OG0005305	AT1G77260	GSVIVG01008797001
OG0005306	AT1G77290	GSVIVG01008804001
OG0005307	AT1G77300	GSVIVG01008805001
OG0005308	AT1G77320	GSVIVG01008809001
OG0005309	AT1G77330	GSVIVG01008811001
OG0005310	AT1G77350	GSVIVG01036785001
OG0005311	AT1G77370	GSVIVG01018843001
OG0005312	AT1G77405	GSVIVG01008474001
OG0005313	AT1G77420	GSVIVG01011888001
OG0005314	AT1G77460	GSVIVG01008840001
OG0005315	AT1G77470	GSVIVG01008841001
OG0005316	AT1G77550	GSVIVG01015082001
OG0005317	AT1G77590	GSVIVG01008872001
OG0005318	AT1G77600	GSVIVG01008876001
OG0005319	AT1G77610	GSVIVG01008878001
OG0005320	AT1G77620	GSVIVG01008880001
OG0005321	AT1G77670	GSVIVG01008900001
OG0005322	AT1G77680	GSVIVG01008904001
OG0005323	AT1G77710	GSVIVG01008919001
OG0005324	AT1G77720	GSVIVG01008926001
OG0005325	AT1G77800	GSVIVG01008944001
OG0005326	AT1G77860	GSVIVG01008957001
OG0005327	AT1G77930	GSVIVG01008959001
OG0005328	AT1G78010	GSVIVG01008990001
OG0005329	AT1G78060	GSVIVG01009003001
OG0005330	AT1G78080	GSVIVG01009007001
OG0005331	AT1G78140	GSVIVG01009017001
OG0005332	AT1G78190	GSVIVG01032524001
OG0005333	AT1G78230	GSVIVG01009041001
OG0005334	AT1G78240	GSVIVG01009043001
OG0005335	AT1G78280	GSVIVG01009071001
OG0005336	AT1G78420	GSVIVG01038087001
OG0005337	AT1G78560	GSVIVG01014085001
OG0005338	AT1G78580	GSVIVG01014092001
OG0005339	AT1G78590	GSVIVG01014095001
OG0005340	AT1G78600	GSVIVG01014097001
OG0005341	AT1G78620	GSVIVG01014100001
OG0005342	AT1G78630	GSVIVG01014101001
OG0005343	AT1G78650	GSVIVG01014168001
OG0005344	AT1G78690	GSVIVG01032877001
OG0005345	AT1G78770	GSVIVG01014182001
OG0005346	AT1G78780	GSVIVG01014184001
OG0005347	AT1G78790	GSVIVG01007592001
OG0005348	AT1G78800	GSVIVG01014186001
OG0005349	AT1G78810	GSVIVG01014195001
OG0005350	AT1G78870	GSVIVG01014215001
OG0005351	AT1G78910	GSVIVG01029556001
OG0005352	AT1G78915	GSVIVG01029561001
OG0005353	AT1G78930	GSVIVG01029533001
OG0005354	AT1G78980	GSVIVG01029462001
OG0005355	AT1G78995	GSVIVG01029444001
OG0005356	AT1G79020	GSVIVG01000280001
OG0005357	AT1G79040	GSVIVG01020484001
OG0005358	AT1G79050	GSVIVG01020482001
OG0005359	AT1G79070	GSVIVG01020441001
OG0005360	AT1G79120	GSVIVG01036927001
OG0005361	AT1G79150	GSVIVG01036806001
OG0005362	AT1G79190	GSVIVG01036797001
OG0005363	AT1G79200	GSVIVG01036789001
OG0005364	AT1G79220	GSVIVG01036787001
OG0005365	AT1G79230	GSVIVG01036786001
OG0005366	AT1G79260	GSVIVG01036691001
OG0005367	AT1G79270	GSVIVG01036696001
OG0005368	AT1G79280	GSVIVG01036698001
OG0005369	AT1G79350	GSVIVG01036703001
OG0005370	AT1G79390	GSVIVG01036708001
OG0005371	AT1G79420	GSVIVG01036716001
OG0005372	AT1G79430	GSVIVG01036717001
OG0005373	AT1G79440	GSVIVG01036719001
OG0005374	AT1G79460	GSVIVG01036724001
OG0005375	AT1G79490	GSVIVG01020873001
OG0005376	AT1G79540	GSVIVG01033259001
OG0005377	AT1G79560	GSVIVG01036763001
OG0005378	AT1G79580	GSVIVG01036682001
OG0005379	AT1G79600	GSVIVG01015910001
OG0005380	AT1G79620	GSVIVG01029829001
OG0005381	AT1G79640	GSVIVG01016074001
OG0005382	AT1G79690	GSVIVG01016092001
OG0005383	AT1G79720	GSVIVG01016100001
OG0005384	AT1G79730	GSVIVG01016983001
OG0005385	AT1G79740	GSVIVG01028726001
OG0005386	AT1G79760	GSVIVG01017000001
OG0005387	AT1G79790	GSVIVG01019144001
OG0005388	AT1G79800	GSVIVG01017030001
OG0005389	AT1G79810	GSVIVG01017049001
OG0005390	AT1G79830	GSVIVG01038690001
OG0005391	AT1G79840	GSVIVG01017073001
OG0005392	AT1G79850	GSVIVG01017072001
OG0005393	AT1G79860	GSVIVG01017070001
OG0005394	AT1G79870	GSVIVG01017067001
OG0005395	AT1G79890	GSVIVG01017082001
OG0005396	AT1G79900	GSVIVG01017089001
OG0005397	AT1G79915	GSVIVG01017098001
OG0005398	AT1G79940	GSVIVG01028825001
OG0005399	AT1G79950	GSVIVG01017108001
OG0005400	AT1G79960	GSVIVG01017105001
OG0005401	AT1G79985	GSVIVG01017116001
OG0005402	AT1G80030	GSVIVG01017355001
OG0005403	AT1G80070	GSVIVG01017346001
OG0005404	AT1G80100	GSVIVG01017338001
OG0005405	AT1G80150	GSVIVG01017298001
OG0005406	AT1G80170	GSVIVG01017279001
OG0005407	AT1G80190	GSVIVG01017274001
OG0005408	AT1G80230	GSVIVG01017240001
OG0005409	AT1G80350	GSVIVG01017172001
OG0005410	AT1G80360	GSVIVG01017171001
OG0005411	AT1G80380	GSVIVG01017163001
OG0005412	AT1G80410	GSVIVG01017154001
OG0005413	AT1G80420	GSVIVG01017153001
OG0005414	AT1G80460	GSVIVG01017422001
OG0005415	AT1G80480	GSVIVG01017471001
OG0005416	AT1G80500	GSVIVG01017278001
OG0005417	AT1G80510	GSVIVG01017492001
OG0005418	AT1G80550	GSVIVG01027384001
OG0005419	AT1G80570	GSVIVG01017521001
OG0005420	AT1G80580	GSVIVG01017542001
OG0005421	AT1G80600	GSVIVG01017522001
OG0005422	AT1G80680	GSVIVG01017553001
OG0005423	AT1G80710	GSVIVG01001050001
OG0005424	AT1G80750	GSVIVG01034230001
OG0005425	AT1G80760	GSVIVG01034224001
OG0005426	AT1G80770	GSVIVG01022468001
OG0005427	AT1G80860	GSVIVG01015956001
OG0005428	AT1G80870	GSVIVG01015977001
OG0005429	AT1G80880	GSVIVG01015982001
OG0005430	AT1G80920	GSVIVG01015991001
OG0005431	AT1G80930	GSVIVG01026760001
OG0005432	AT1G80940	GSVIVG01016103001
OG0005433	AT1G80950	GSVIVG01009661001
OG0005434	AT2G01060	GSVIVG01007065001
OG0005435	AT2G01070	GSVIVG01023009001
OG0005436	AT2G01080	GSVIVG01029690001
OG0005437	AT2G01110	GSVIVG01011805001
OG0005438	AT2G01120	GSVIVG01011806001
OG0005439	AT2G01140	GSVIVG01011810001
OG0005440	AT2G01170	GSVIVG01011824001
OG0005441	AT2G01210	GSVIVG01011842001
OG0005442	AT2G01290	GSVIVG01025127001
OG0005443	AT2G01320	GSVIVG01011781001
OG0005444	AT2G01350	GSVIVG01011763001
OG0005445	AT2G01390	GSVIVG01019029001
OG0005446	AT2G01410	GSVIVG01011761001
OG0005447	AT2G01430	GSVIVG01011754001
OG0005448	AT2G01440	GSVIVG01011753001
OG0005449	AT2G01460	GSVIVG01011746001
OG0005450	AT2G01480	GSVIVG01011740001
OG0005451	AT2G01490	GSVIVG01011739001
OG0005452	AT2G01510	GSVIVG01011735001
OG0005453	AT2G01590	GSVIVG01011705001
OG0005454	AT2G01600	GSVIVG01011704001
OG0005455	AT2G01620	GSVIVG01011683001
OG0005456	AT2G01640	GSVIVG01003168001
OG0005457	AT2G01650	GSVIVG01011678001
OG0005458	AT2G01660	GSVIVG01011675001
OG0005459	AT2G01680	GSVIVG01011665001
OG0005460	AT2G01690	GSVIVG01011664001
OG0005461	AT2G01710	GSVIVG01009170001
OG0005462	AT2G01720	GSVIVG01016262001
OG0005463	AT2G01730	GSVIVG01011657001
OG0005464	AT2G01755	GSVIVG01011651001
OG0005465	AT2G01770	GSVIVG01011629001
OG0005466	AT2G01818	GSVIVG01011622001
OG0005467	AT2G01830	GSVIVG01011612001
OG0005468	AT2G01870	GSVIVG01025250001
OG0005469	AT2G01890	GSVIVG01011599001
OG0005470	AT2G01900	GSVIVG01011597001
OG0005471	AT2G01905	GSVIVG01011595001
OG0005472	AT2G01918	GSVIVG01000799001
OG0005473	AT2G01950	GSVIVG01011586001
OG0005474	AT2G01970	GSVIVG01011574001
OG0005475	AT2G01980	GSVIVG01011573001
OG0005476	AT2G02050	GSVIVG01000609001
OG0005477	AT2G02090	GSVIVG01010282001
OG0005478	AT2G02148	GSVIVG01010248001
OG0005479	AT2G02150	GSVIVG01010244001
OG0005480	AT2G02160	GSVIVG01010243001
OG0005481	AT2G02170	GSVIVG01010242001
OG0005482	AT2G02180	GSVIVG01010240001
OG0005483	AT2G02370	GSVIVG01023098001
OG0005484	AT2G02400	GSVIVG01023116001
OG0005485	AT2G02410	GSVIVG01023121001
OG0005486	AT2G02450	GSVIVG01023123001
OG0005487	AT2G02470	GSVIVG01023128001
OG0005488	AT2G02500	GSVIVG01023131001
OG0005489	AT2G02560	GSVIVG01023143001
OG0005490	AT2G02570	GSVIVG01023145001
OG0005491	AT2G02590	GSVIVG01020079001
OG0005492	AT2G02710	GSVIVG01020075001
OG0005493	AT2G02750	GSVIVG01020058001
OG0005494	AT2G02800	GSVIVG01020041001
OG0005495	AT2G02860	GSVIVG01020031001
OG0005496	AT2G02880	GSVIVG01023007001
OG0005497	AT2G02910	GSVIVG01020005001
OG0005498	AT2G02955	GSVIVG01019982001
OG0005499	AT2G02980	GSVIVG01019975001
OG0005500	AT2G02990	GSVIVG01019974001
OG0005501	AT2G03070	GSVIVG01029540001
OG0005502	AT2G03120	GSVIVG01037261001
OG0005503	AT2G03140	GSVIVG01015020001
OG0005504	AT2G03150	GSVIVG01019950001
OG0005505	AT2G03200	GSVIVG01008883001
OG0005506	AT2G03270	GSVIVG01033323001
OG0005507	AT2G03350	GSVIVG01010096001
OG0005508	AT2G03380	GSVIVG01012174001
OG0005509	AT2G03390	GSVIVG01012177001
OG0005510	AT2G03420	GSVIVG01012179001
OG0005511	AT2G03430	GSVIVG01012181001
OG0005512	AT2G03480	GSVIVG01012188001
OG0005513	AT2G03500	GSVIVG01015462001
OG0005514	AT2G03510	GSVIVG01012214001
OG0005515	AT2G03590	GSVIVG01012215001
OG0005516	AT2G03620	GSVIVG01012222001
OG0005517	AT2G03667	GSVIVG01012228001
OG0005518	AT2G03690	GSVIVG01000552001
OG0005519	AT2G03780	GSVIVG01010104001
OG0005520	AT2G03800	GSVIVG01008152001
OG0005521	AT2G03820	GSVIVG01033251001
OG0005522	AT2G03870	GSVIVG01032062001
OG0005523	AT2G04030	GSVIVG01010120001
OG0005524	AT2G04235	GSVIVG01030128001
OG0005525	AT2G04240	GSVIVG01030125001
OG0005526	AT2G04270	GSVIVG01030124001
OG0005527	AT2G04305	GSVIVG01038516001
OG0005528	AT2G04340	GSVIVG01018573001
OG0005529	AT2G04350	GSVIVG01030119001
OG0005530	AT2G04360	GSVIVG01030118001
OG0005531	AT2G04530	GSVIVG01030538001
OG0005532	AT2G04540	GSVIVG01030537001
OG0005533	AT2G04550	GSVIVG01030535001
OG0005534	AT2G04560	GSVIVG01030530001
OG0005535	AT2G04620	GSVIVG01032551001
OG0005536	AT2G04660	GSVIVG01019948001
OG0005537	AT2G04690	GSVIVG01032543001
OG0005538	AT2G04700	GSVIVG01032540001
OG0005539	AT2G04740	GSVIVG01030415001
OG0005540	AT2G04790	GSVIVG01030422001
OG0005541	AT2G04842	GSVIVG01030033001
OG0005542	AT2G04845	GSVIVG01030037001
OG0005543	AT2G04850	GSVIVG01030038001
OG0005544	AT2G04860	GSVIVG01009496001
OG0005545	AT2G04940	GSVIVG01024449001
OG0005546	AT2G05120	GSVIVG01030051001
OG0005547	AT2G05170	GSVIVG01030049001
OG0005548	AT2G05210	GSVIVG01008445001
OG0005549	AT2G05590	GSVIVG01027912001
OG0005550	AT2G05620	GSVIVG01027902001
OG0005551	AT2G05630	GSVIVG01030430001
OG0005552	AT2G05755	GSVIVG01030496001
OG0005553	AT2G05760	GSVIVG01030497001
OG0005554	AT2G05810	GSVIVG01030505001
OG0005555	AT2G05830	GSVIVG01015055001
OG0005556	AT2G05840	GSVIVG01016731001
OG0005557	AT2G05910	GSVIVG01015066001
OG0005558	AT2G05920	GSVIVG01015069001
OG0005559	AT2G05940	GSVIVG01015077001
OG0005560	AT2G06010	GSVIVG01015085001
OG0005561	AT2G06025	GSVIVG01015086001
OG0005562	AT2G06040	GSVIVG01015088001
OG0005563	AT2G06050	GSVIVG01015093001
OG0005564	AT2G06210	GSVIVG01015096001
OG0005565	AT2G06510	GSVIVG01015111001
OG0005566	AT2G06520	GSVIVG01035449001
OG0005567	AT2G06530	GSVIVG01015115001
OG0005568	AT2G06925	GSVIVG01010913001
OG0005569	AT2G06990	GSVIVG01032255001
OG0005570	AT2G07050	GSVIVG01032285001
OG0005571	AT2G07170	GSVIVG01032268001
OG0005572	AT2G07180	GSVIVG01032269001
OG0005573	AT2G07340	GSVIVG01032270001
OG0005574	AT2G07360	GSVIVG01022289001
OG0005575	AT2G07680	GSVIVG01015960001
OG0005576	AT2G07689	GSVIVG01007203001
OG0005577	AT2G07690	GSVIVG01001046001
OG0005578	AT2G07785	GSVIVG01006663001
OG0005579	AT2G07815	GSVIVG01031933001
OG0005580	AT2G10950	GSVIVG01015602001
OG0005581	AT2G11000	GSVIVG01015604001
OG0005582	AT2G11520	GSVIVG01012827001
OG0005583	AT2G11890	GSVIVG01017455001
OG0005584	AT2G12400	GSVIVG01012867001
OG0005585	AT2G12462	GSVIVG01012863001
OG0005586	AT2G12550	GSVIVG01012860001
OG0005587	AT2G12646	GSVIVG01012869001
OG0005588	AT2G13350	GSVIVG01027920001
OG0005589	AT2G13360	GSVIVG01037237001
OG0005590	AT2G13370	GSVIVG01037235001
OG0005591	AT2G13440	GSVIVG01026449001
OG0005592	AT2G13540	GSVIVG01037230001
OG0005593	AT2G13560	GSVIVG01018377001
OG0005594	AT2G13600	GSVIVG01000936001
OG0005595	AT2G13610	GSVIVG01022346001
OG0005596	AT2G13620	GSVIVG01026473001
OG0005597	AT2G13650	GSVIVG01026484001
OG0005598	AT2G13680	GSVIVG01026489001
OG0005599	AT2G13690	GSVIVG01026493001
OG0005600	AT2G13840	GSVIVG01003077001
OG0005601	AT2G14045	GSVIVG01036217001
OG0005602	AT2G14050	GSVIVG01022631001
OG0005603	AT2G14095	GSVIVG01015685001
OG0005604	AT2G14110	GSVIVG01015652001
OG0005605	AT2G14170	GSVIVG01000336001
OG0005606	AT2G14255	GSVIVG01036957001
OG0005607	AT2G14260	GSVIVG01036968001
OG0005608	AT2G14530	GSVIVG01036992001
OG0005609	AT2G14620	GSVIVG01037018001
OG0005610	AT2G14680	GSVIVG01037817001
OG0005611	AT2G14825	GSVIVG01037858001
OG0005612	AT2G14830	GSVIVG01030541001
OG0005613	AT2G14835	GSVIVG01037847001
OG0005614	AT2G14910	GSVIVG01037889001
OG0005615	AT2G14960	GSVIVG01000176001
OG0005616	AT2G15220	GSVIVG01037910001
OG0005617	AT2G15230	GSVIVG01037920001
OG0005618	AT2G15240	GSVIVG01003155001
OG0005619	AT2G15290	GSVIVG01003161001
OG0005620	AT2G15320	GSVIVG01003169001
OG0005621	AT2G15560	GSVIVG01031726001
OG0005622	AT2G15570	GSVIVG01031727001
OG0005623	AT2G15580	GSVIVG01012890001
OG0005624	AT2G15620	GSVIVG01031737001
OG0005625	AT2G15630	GSVIVG01029769001
OG0005626	AT2G15680	GSVIVG01031752001
OG0005627	AT2G15760	GSVIVG01009563001
OG0005628	AT2G15790	GSVIVG01031799001
OG0005629	AT2G15820	GSVIVG01031785001
OG0005630	AT2G15860	GSVIVG01031842001
OG0005631	AT2G15890	GSVIVG01031844001
OG0005632	AT2G15900	GSVIVG01031845001
OG0005633	AT2G15980	GSVIVG01031896001
OG0005634	AT2G16050	GSVIVG01031897001
OG0005635	AT2G16060	GSVIVG01031900001
OG0005636	AT2G16070	GSVIVG01031902001
OG0005637	AT2G16090	GSVIVG01031904001
OG0005638	AT2G16385	GSVIVG01023821001
OG0005639	AT2G16405	GSVIVG01024219001
OG0005640	AT2G16440	GSVIVG01024207001
OG0005641	AT2G16595	GSVIVG01024082001
OG0005642	AT2G16630	GSVIVG01024071001
OG0005643	AT2G16700	GSVIVG01024043001
OG0005644	AT2G16710	GSVIVG01033834001
OG0005645	AT2G16790	GSVIVG01024450001
OG0005646	AT2G16860	GSVIVG01024009001
OG0005647	AT2G16920	GSVIVG01024005001
OG0005648	AT2G17020	GSVIVG01023957001
OG0005649	AT2G17033	GSVIVG01023965001
OG0005650	AT2G17040	GSVIVG01023921001
OG0005651	AT2G17140	GSVIVG01023885001
OG0005652	AT2G17220	GSVIVG01023878001
OG0005653	AT2G17265	GSVIVG01023624001
OG0005654	AT2G17270	GSVIVG01023867001
OG0005655	AT2G17350	GSVIVG01011124001
OG0005656	AT2G17480	GSVIVG01022305001
OG0005657	AT2G17500	GSVIVG01022301001
OG0005658	AT2G17510	GSVIVG01022300001
OG0005659	AT2G17525	GSVIVG01021583001
OG0005660	AT2G17550	GSVIVG01026639001
OG0005661	AT2G17570	GSVIVG01028311001
OG0005662	AT2G17695	GSVIVG01006258001
OG0005663	AT2G17705	GSVIVG01005194001
OG0005664	AT2G17710	GSVIVG01005193001
OG0005665	AT2G17820	GSVIVG01018749001
OG0005666	AT2G17890	GSVIVG01018778001
OG0005667	AT2G17900	GSVIVG01008928001
OG0005668	AT2G17950	GSVIVG01018787001
OG0005669	AT2G17975	GSVIVG01018789001
OG0005670	AT2G17980	GSVIVG01023951001
OG0005671	AT2G17990	GSVIVG01018794001
OG0005672	AT2G18030	GSVIVG01018799001
OG0005673	AT2G18040	GSVIVG01018801001
OG0005674	AT2G18050	GSVIVG01018807001
OG0005675	AT2G18196	GSVIVG01019700001
OG0005676	AT2G18220	GSVIVG01037396001
OG0005677	AT2G18245	GSVIVG01018935001
OG0005678	AT2G18250	GSVIVG01018936001
OG0005679	AT2G18290	GSVIVG01018941001
OG0005680	AT2G18370	GSVIVG01006001001
OG0005681	AT2G18390	GSVIVG01018953001
OG0005682	AT2G18400	GSVIVG01018954001
OG0005683	AT2G18410	GSVIVG01031016001
OG0005684	AT2G18460	GSVIVG01009698001
OG0005685	AT2G18465	GSVIVG01026590001
OG0005686	AT2G18510	GSVIVG01018991001
OG0005687	AT2G18710	GSVIVG01032310001
OG0005688	AT2G18760	GSVIVG01028359001
OG0005689	AT2G18840	GSVIVG01029199001
OG0005690	AT2G18850	GSVIVG01029207001
OG0005691	AT2G18890	GSVIVG01029224001
OG0005692	AT2G18900	GSVIVG01030738001
OG0005693	AT2G18910	GSVIVG01035530001
OG0005694	AT2G18940	GSVIVG01029248001
OG0005695	AT2G18950	GSVIVG01029247001
OG0005696	AT2G19070	GSVIVG01010912001
OG0005697	AT2G19080	GSVIVG01010902001
OG0005698	AT2G19130	GSVIVG01014328001
OG0005699	AT2G19260	GSVIVG01010859001
OG0005700	AT2G19270	GSVIVG01029313001
OG0005701	AT2G19385	GSVIVG01015151001
OG0005702	AT2G19430	GSVIVG01015172001
OG0005703	AT2G19450	GSVIVG01015174001
OG0005704	AT2G19490	GSVIVG01015188001
OG0005705	AT2G19520	GSVIVG01016852001
OG0005706	AT2G19540	GSVIVG01015210001
OG0005707	AT2G19560	GSVIVG01015212001
OG0005708	AT2G19590	GSVIVG01015220001
OG0005709	AT2G19600	GSVIVG01015222001
OG0005710	AT2G19640	GSVIVG01001133001
OG0005711	AT2G19790	GSVIVG01015270001
OG0005712	AT2G19870	GSVIVG01015302001
OG0005713	AT2G19880	GSVIVG01015303001
OG0005714	AT2G19940	GSVIVG01031808001
OG0005715	AT2G19950	GSVIVG01015314001
OG0005716	AT2G20000	GSVIVG01015317001
OG0005717	AT2G20020	GSVIVG01015331001
OG0005718	AT2G20050	GSVIVG01015338001
OG0005719	AT2G20060	GSVIVG01004810001
OG0005720	AT2G20190	GSVIVG01028493001
OG0005721	AT2G20210	GSVIVG01028489001
OG0005722	AT2G20250	GSVIVG01028482001
OG0005723	AT2G20280	GSVIVG01016357001
OG0005724	AT2G20300	GSVIVG01028463001
OG0005725	AT2G20330	GSVIVG01028442001
OG0005726	AT2G20340	GSVIVG01028441001
OG0005727	AT2G20360	GSVIVG01028438001
OG0005728	AT2G20390	GSVIVG01028431001
OG0005729	AT2G20420	GSVIVG01028373001
OG0005730	AT2G20440	GSVIVG01028367001
OG0005731	AT2G20480	GSVIVG01025388001
OG0005732	AT2G20490	GSVIVG01033693001
OG0005733	AT2G20495	GSVIVG01028355001
OG0005734	AT2G20515	GSVIVG01028336001
OG0005735	AT2G20562	GSVIVG01014277001
OG0005736	AT2G20570	GSVIVG01020604001
OG0005737	AT2G20580	GSVIVG01020602001
OG0005738	AT2G20635	GSVIVG01020577001
OG0005739	AT2G20650	GSVIVG01020571001
OG0005740	AT2G20725	GSVIVG01020531001
OG0005741	AT2G20740	GSVIVG01030374001
OG0005742	AT2G20780	GSVIVG01030384001
OG0005743	AT2G20790	GSVIVG01017858001
OG0005744	AT2G20810	GSVIVG01030583001
OG0005745	AT2G20815	GSVIVG01030582001
OG0005746	AT2G20830	GSVIVG01030574001
OG0005747	AT2G20860	GSVIVG01006944001
OG0005748	AT2G20875	GSVIVG01014396001
OG0005749	AT2G20890	GSVIVG01029990001
OG0005750	AT2G20900	GSVIVG01029989001
OG0005751	AT2G20920	GSVIVG01023991001
OG0005752	AT2G20930	GSVIVG01024004001
OG0005753	AT2G20940	GSVIVG01024006001
OG0005754	AT2G20980	GSVIVG01024030001
OG0005755	AT2G21050	GSVIVG01008917001
OG0005756	AT2G21070	GSVIVG01024058001
OG0005757	AT2G21080	GSVIVG01035570001
OG0005758	AT2G21090	GSVIVG01024061001
OG0005759	AT2G21100	GSVIVG01000846001
OG0005760	AT2G21120	GSVIVG01024073001
OG0005761	AT2G21150	GSVIVG01024083001
OG0005762	AT2G21170	GSVIVG01024086001
OG0005763	AT2G21195	GSVIVG01036292001
OG0005764	AT2G21280	GSVIVG01024169001
OG0005765	AT2G21340	GSVIVG01024199001
OG0005766	AT2G21370	GSVIVG01024202001
OG0005767	AT2G21385	GSVIVG01024205001
OG0005768	AT2G21440	GSVIVG01024222001
OG0005769	AT2G21470	GSVIVG01023831001
OG0005770	AT2G21620	GSVIVG01023785001
OG0005771	AT2G21630	GSVIVG01026719001
OG0005772	AT2G21660	GSVIVG01031973001
OG0005773	AT2G21710	GSVIVG01031970001
OG0005774	AT2G21720	GSVIVG01029954001
OG0005775	AT2G21790	GSVIVG01022278001
OG0005776	AT2G21820	GSVIVG01036687001
